time,label,feet_r,feet_g,feet_b,text_frac,cap_r,cap_g,cap_b
0.10,?,60,32,25,0.0516,140,140,140
0.33,?,64,27,6,0.0211,176,170,136
0.50,?,182,50,78,0.0211,243,226,126
0.65,?,67,24,12,0.0211,243,226,126
0.83,?,237,114,46,0.0290,243,226,126
0.97,?,255,253,212,0.0290,243,226,126
1.12,?,102,27,19,0.5600,140,140,140
1.28,?,254,247,207,0.0274,141,139,140
1.43,?,254,248,207,0.8774,141,138,140
1.61,?,103,60,44,0.1635,142,137,140
1.79,?,254,248,207,0.2613,142,136,140
1.96,?,254,248,207,0.2827,142,136,140
2.15,?,234,61,143,0.0265,142,136,140
2.31,?,237,113,46,0.0265,142,136,140
2.47,?,100,22,39,0.0265,142,136,140
2.62,?,203,197,67,0.0494,142,136,140
2.77,?,219,204,74,0.0511,141,139,140
2.93,?,242,211,75,0.0516,140,140,140
3.10,?,201,188,67,0.0516,140,140,140
3.29,?,215,204,75,0.0516,140,140,140
3.56,?,250,230,192,0.0211,243,226,126
3.73,?,234,56,152,0.0211,243,226,126
3.92,?,234,55,155,0.0290,243,226,126
4.10,?,237,117,47,0.0290,243,226,126
4.28,?,18,17,15,0.7734,140,140,140
4.47,?,60,27,68,0.0274,141,139,140
4.66,?,55,20,26,0.0271,141,138,140
4.84,?,55,20,26,0.0267,141,137,140
5.03,?,55,20,26,0.0265,142,136,140
5.23,?,236,100,49,0.0265,142,136,140
5.41,?,241,157,56,0.0265,142,136,140
5.59,?,240,148,54,0.0265,142,136,140
5.78,?,241,151,168,0.0494,142,136,140
5.97,?,137,122,51,0.0502,141,138,140
6.16,?,126,110,47,0.0516,140,140,140
6.35,?,126,110,46,0.0516,140,140,140
6.53,?,222,203,75,0.0516,140,140,140
6.72,?,97,44,18,0.0211,186,178,135
6.90,?,77,32,14,0.0211,243,226,126
7.09,?,80,36,15,0.0211,243,226,126
7.28,?,244,190,65,0.0290,243,226,126
7.46,?,102,26,19,0.0276,140,140,140
7.64,?,236,97,47,0.0274,141,139,140
7.81,?,236,97,47,0.0271,141,138,140
8.00,?,236,98,47,0.0267,141,137,140
8.19,?,27,18,25,0.0265,142,136,140
8.39,?,27,18,24,0.0265,142,136,140
8.58,?,250,228,182,0.0265,142,136,140
8.78,?,165,58,122,0.0265,142,136,140
8.95,?,229,151,96,0.0265,142,136,140
9.13,?,84,66,27,0.0498,142,136,140
9.30,?,55,39,16,0.0515,140,140,140
9.47,?,55,39,16,0.0516,140,140,140
9.67,?,55,39,17,0.0516,140,140,140
9.84,?,252,240,205,0.0211,140,140,140
10.03,?,245,189,110,0.0211,243,226,126
10.22,?,235,132,211,0.0211,243,226,126
10.40,?,179,65,146,0.0290,243,226,126
10.58,?,248,217,141,0.0612,243,226,126
10.75,?,26,17,19,0.0275,140,139,140
10.97,?,160,122,76,0.0273,140,138,140
11.16,?,123,86,90,0.0270,141,137,140
11.35,?,246,198,67,0.0266,142,136,140
11.53,?,197,253,80,0.0265,142,136,140
11.70,?,186,253,79,0.0265,142,136,140
11.87,?,237,117,47,0.0265,142,136,140
12.04,?,237,120,47,0.0265,142,136,140
12.21,?,247,208,159,0.0265,142,136,140
12.38,DIRT,119,102,40,0.0000,238,128,49
12.56,DIRT,207,230,80,0.0000,238,130,49
12.75,DIRT,208,162,90,0.0000,238,130,49
12.94,DIRT,111,93,37,0.0000,238,131,49
13.13,DIRT,13,2,2,0.0516,140,140,140
13.31,DIRT,13,2,2,0.0516,140,140,140
13.49,DIRT,204,189,64,0.0516,140,140,140
13.67,DIRT,13,2,2,0.0516,140,140,140
13.85,DIRT,13,2,2,0.0516,140,140,140
14.04,DIRT,173,62,108,0.0211,140,140,140
14.23,DIRT,238,132,50,0.0211,140,140,140
14.42,DIRT,238,131,49,0.0211,140,140,140
14.61,DIRT,238,130,49,0.0211,140,140,140
14.79,DIRT,238,130,49,0.0211,140,140,140
14.97,DIRT,238,133,50,0.0211,140,140,140
15.17,DIRT,244,189,64,0.0211,140,140,140
15.36,DIRT,246,206,70,0.0211,140,140,140
15.54,DIRT,241,164,58,0.0211,140,140,140
15.71,DIRT,238,136,51,0.0211,140,140,140
15.91,DIRT,238,131,49,0.0211,140,140,140
16.09,DIRT,238,131,49,0.0211,140,140,140
16.24,DIRT,238,131,49,0.0211,140,140,140
